id_expose,url,title,address,contact_person,telephone,mobile,fax,price_purchase,estimated_monthly_rate,rooms,living_area_m2,furnishing,flat_type,floor,floor_total,bedrooms,commission_buyer_rate,maintenance_cost,construction_year,object_state,heating_type,energy_efficiency_class,location
,https://www.immobilienscout24.de/expose/121384950#/,"Vermietet, zentral, gepflegt: 3-Zi.-ETW in Bahnhofsnähe - ideal für Kleinanleger"," 75172 Pforzheim, Weststadt",,,,,169000,0,3.0,77.0,"['Keller', 'Online-Besichtigung möglich']",,1,4,2,4.64,0,1959, Gepflegt , Zentralheizung ,,"Die Immobilie befindet sich in bester Innenstadtlage der Großstadt Pforzheim in Baden-Württemberg. Mit einer Einwohnerzahl von 126.000 bildet Pforzheim die achtgrößte Stadt in Baden-Württemberg. Neben der bundesweiten Bekanntheit als Produzent von Schmuckwaren hat sich die Stadt über die letzten Jahrzehnte wirtschaftlich in den Bereichen Metallverarbeitung, Elektronik und Elektrotechnik breit aufgestellt. 

Bei der Wohnung profitieren Mieter von den Vorzügen einer sehr gut ausgebauten Infrastruktur sowie der repräsentativen Innenstadtlage. Dem zentralen Standort entsprechend bietet das Umfeld der Immobilie alle Vorzüge des täglichen Bedarfs. So finden sich sämtliche Dienstleister, Nahversorger, Gastronomiebetriebe und auch Einzelhändler in unmittelbarer Umgebung. Der nahe gelegene Benckiserpark lädt zudem zu entspannt verbrachten Momenten im Grünen ein. 

Darüber hinaus ist die exzellente Anbindung zum ÖPNV zu nennen. Zum einen befinden sich sämtliche Buslinien direkt vor der Haustür. Zum anderen ist auch der Hauptbahnhof fußläufig zu erreichen. Zudem ist das Objekt auch mit dem PKW sehr gut erreichbar."
,https://www.immobilienscout24.de/expose/121378082#/,"Gepflegte, helle, Zentrumsnahe 4-Zimmer-Wohnung - Pforzheim","Brettener Str. 11, 75177 Baden-Württemberg - Pforzheim, Nordstadt",,,,,245000,0,4.0,129.0,"['Gäste-WC', 'Balkon/ Terrasse', 'Keller', 'Einbauküche', 'Provisionsfrei']", Etagenwohnung ,2,3,0,0.0,338,1927, Gepflegt , Zentralheizung ,,
,https://www.immobilienscout24.de/expose/121342538#/,***Schöne Wohnung mit großem Hobbyraum und Garage***," 75175 Pforzheim, Oststadt",,0723158993141,,0723158993150,172000,0,3.0,74.0,"['Balkon/ Terrasse', 'Keller', 'Einbauküche']", Etagenwohnung ,2,0,0,4.64,405,1970,, Zentralheizung ,,"Ihre Wohnung befindet sich in Pforzheim sehr zentral gelegen. Einkaufsmöglichkeiten, Ärzte, Schulen, Kindergärten, Busverbindung befinden sich im nahen Umfeld, auch die Fußgängerzone von Pforzheim kann in wenigen Minuten zu Fuß erreicht werden.Das städtische Klinikum von Pforzheim befindet sich ebenfalls nur wenige Meter vom Objekt entfernt."
,https://www.immobilienscout24.de/expose/121315184#/,"""Hochwertige 2-Zimmer Deluxe """," 75181 Pforzheim/Eutingen, Pforzheim",,,017689280887,,255000,0,2.0,74.0,"['Stufenloser Zugang', 'Balkon/ Terrasse', 'Keller', 'Garten/ -mitbenutzung']", Erdgeschosswohnung ,0,2,1,4.64,180,2019, Erstbezug , Wärmepumpe ,,"++Mäurach ist ein Wohngebiet in der Nähe der Stadt Pforzheim in Baden-Württemberg. Es gehört verwaltungstechnisch zu Eutingen an der Enz, das 1975 als Stadtteil nach Pforzheim eingemeindet wurde."
,https://www.immobilienscout24.de/expose/121308240#/,Direkt am wunderschönen Enzufer gelegene 5-Zimmer-Wohnung zentrumsnah in Pforzheim,"Simmlerstr. 6, 75172 Pforzheim, Weststadt",,,,,340000,0,5.0,142.0,"['Balkon/ Terrasse', 'Keller', 'Provisionsfrei']", Etagenwohnung ,2,5,0,0.0,363,1954, Renovierungsbedürftig , Etagenheizung ,,"Herrlich am wunderschönen naturnahen Enzufer (Südseite), ruhig und zentrumsnah gelegen"
,https://www.immobilienscout24.de/expose/121307563#/,Modern ausgestattete Maisonettewohnung mit Balkon und Gartenzugang," 75173 Pforzheim, Südweststadt",,,,,320000,0,3.0,99.8,"['Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Garten/ -mitbenutzung', 'Gäste-WC']",,1,5,2,3.41,286,1992, Gepflegt , Fernwärme ,,"
• Die zum Verkauf stehende Immobilie liegt zentral in Pforzheim.
• Sie profitiert von einer guten Anbindung an die öffentlichen Verkehrsmittel.
• Der sich an der Nagold erstreckende Stadtgarten ist fußläufig erreichbar.
• Dank der zentrumsnahen Lage sind diverse Restaurants und Bars nicht fern.
• Geschäfte des täglichen Bedarfs verteilen sich im unmittelbaren Umfeld.

• Anbindung ÖPNV:
Bus | Pforzheim Schmuckmuseum (ca. 9 Gehminuten)
S-Bahn | Pforzheim Hbf (ca. 5 Autominuten)"
,https://www.immobilienscout24.de/expose/121298544#/,"Großzügige, gut ausgestattete Etagenwohnung in vorteilhafter Lage"," 75173 Pforzheim, Südweststadt",,,,,260000,0,3.5,115.0,"['Stufenloser Zugang', 'Personenaufzug', 'Balkon/ Terrasse', 'Keller', 'Einbauküche', 'Gäste-WC']",,3,5,2,3.41,0,1965, Gepflegt , Fernwärme ,,"
Die angebotene Immobilie liegt zentral in Pforzheim auf der Südseite der Enz. Dank der zentralen Lage sind diverse Geschäfte und Restaurants schnell erreicht. Auch eine hervorragende Anbindung an die öffentlichen Verkehrsmittel ist gegeben. Diverse Dienstleister und der Stadtgarten sind ebenfalls fußläufig erreichbar. 

Anbindung ÖPNV:
Bus | Turnplatz Steig (ca. 1 Gehminute)
Bahn | Pforzheim Hbf (ca. 11 Gehminuten)"
,https://www.immobilienscout24.de/expose/121264693#/,Großzügige 3-Zimmer-Wohnung in Pforzheim-Nordstadt,"Lisztstr. 31, 75179 Pforzheim, Nordstadt",,07231931943,,,430700,0,3.0,138.94,"['Balkon/ Terrasse', 'Gäste-WC', 'Provisionsfrei', 'Personenaufzug']", Terrassenwohnung ,9,0,2,0.0,431,1994, Modernisiert , Zentralheizung , C ,"Pforzheim-Nordstadt

Günstige Lage zu den Autobahnauffahrten Pforzheim-West. Es sind wenige Gehminuten zum Hauptbahnhof."
,https://www.immobilienscout24.de/expose/121262622#/,! TOP ANLAGEOBJEKT ! - Direkte Nähe zur Fußgängerzone," 75172 Pforzheim, Weststadt",,,,071116128256,225000,0,3.0,83.23,"['Provisionsfrei', 'Vermietet']", Etagenwohnung ,2,5,2,0.0,150,1960, Saniert , Fernwärme ,,
,https://www.immobilienscout24.de/expose/121220848#/,Traumhafte Dachgeschosswohnung in Zentrumsnähe mit Aufzug!," 75172 Pforzheim-Weststadt, Pforzheim",,07231587000,,0723158700066,299999,0,5.5,142.0,"['Balkon/ Terrasse', 'Personenaufzug']", Dachgeschoss ,5,0,0,4.0,286,1952,, Zentralheizung , C ,"Die Wohnung liegt sehr nahe am Zentrum. Das Zentrum ist fußläufig in 5-10 Minuten erreichbar.

Pforzheim liegt am Nordrand des Schwarzwalds am Zusammenfluss von Enz, Nagold und Würm. Die achtgrößte Stadt Baden-Württembergs gilt mit rund 120.000 Einwohnern als Großstadt. Sie ist ein Zentrum des Verdichtungsraums Karlsruhe/Pforzheim, der etwa 650.000 Einwohner zählt. Die nächstgrößeren Städte sind Karlsruhe, etwa 25 km nordwestlich, und Stuttgart, rund 37 km südöstlich. Pforzheim ist ein eigenständiger Stadtkreis und zugleich Sitz des Enzkreises, von dem das Stadtgebiet fast vollständig umschlossen ist. Die Stadt ist ferner das Oberzentrum der Region Nordschwarzwald und beherbergt zahlreiche weiterführende Schulen sowie eine Hochschule für angewandte Wissenschaft (Hochschule Pforzheim)."
